Series,Year,calendar year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
10,8,1986,0.1181,-0.036,0.0,0.1728,0.1451,0.0343,0.1226,,,0.2519,0.6037,-0.0563,-0.0563,0.2319,-0.028,0.2713
10,9,1987,0.0003,-0.1873,0.0,-0.1015,-0.0281,0.0196,0.1773,,,0.2233,0.181,-0.0546,-0.0546,0.2159,-0.03,0.2396
10,10,1988,0.0925,0.1003,0.0,0.0145,0.0723,0.0052,-0.2056,,,0.1873,0.2055,-0.0625,-0.0625,0.1876,-0.041,0.2013
11,1,1980,0.1827,0.2785,0.0,-0.1291,-0.1321,-0.0358,0.0341,,,0.1048,0.1171,-0.1023,-0.1023,-0.0485,0.2358,0.1172
11,2,1981,-0.1643,-0.1594,0.0,-0.0512,-0.0489,-0.0784,-0.409,,,0.2439,-0.1321,-0.1231,-0.1231,0.0,0.0172,0.2817
11,3,1982,0.0888,0.1493,0.0,0.2008,0.1668,-0.0908,0.0454,,,0.359,-0.1036,-0.0958,-0.0958,0.1081,-0.0073,0.4081
11,4,1983,0.1263,0.2508,0.0,-0.0499,0.0697,-0.0356,-0.234,,,0.3802,0.1472,-0.0794,-0.0794,0.1874,-0.0157,0.425
11,5,1984,-0.0309,-0.2196,0.0,0.0383,0.0555,-0.0444,-0.264,,,0.3313,-0.0153,-0.0871,-0.0871,0.2078,-0.0389,0.367
11,6,1985,0.2212,0.1644,0.0,0.1697,0.1525,0.0,-0.0137,,,0.3121,0.4583,-0.0695,-0.0695,0.2379,-0.0301,0.3409
11,7,1986,0.1181,-0.036,0.0,0.1728,0.1451,0.0343,0.1226,,,0.2884,0.6037,-0.0563,-0.0563,0.2473,-0.023,0.312
11,8,1987,0.0003,-0.1873,0.0,-0.1015,-0.0281,0.0196,0.1773,,,0.2541,0.181,-0.0546,-0.0546,0.2341,-0.0263,0.2736
11,9,1988,0.0925,0.1003,0.0,0.0145,0.0723,0.0052,-0.2056,,,0.2131,0.2055,-0.0625,-0.0625,0.2058,-0.0381,0.2293
11,10,1989,0.2162,-0.0107,0.0,0.0886,0.0725,-0.0344,-0.1013,,,0.1715,0.0249,-0.075,-0.075,0.1718,-0.0537,0.1853
12,1,1981,-0.1643,-0.1594,0.0,-0.0512,-0.0489,-0.0784,-0.409,,,0.0791,-0.1321,-0.1231,-0.1231,-0.0706,0.2071,0.0912
12,2,1982,0.0888,0.1493,0.0,0.2008,0.1668,-0.0908,0.0454,,,0.2826,-0.1036,-0.0958,-0.0958,0.0311,0.0488,0.3215
12,3,1983,0.1263,0.2508,0.0,-0.0499,0.0697,-0.0356,-0.234,,,0.3838,0.1472,-0.0794,-0.0794,0.1283,0.0108,0.4338
12,4,1984,-0.0309,-0.2196,0.0,0.0383,0.0555,-0.0444,-0.264,,,0.3686,-0.0153,-0.0871,-0.0871,0.1775,-0.024,0.413
12,5,1985,0.2212,0.1644,0.0,0.1697,0.1525,0.0,-0.0137,,,0.3569,0.4583,-0.0695,-0.0695,0.231,-0.0204,0.3933
12,6,1986,0.1181,-0.036,0.0,0.1728,0.1451,0.0343,0.1226,,,0.3307,0.6037,-0.0563,-0.0563,0.2554,-0.0163,0.3599
12,7,1987,0.0003,-0.1873,0.0,-0.1015,-0.0281,0.0196,0.1773,,,0.2907,0.181,-0.0546,-0.0546,0.2496,-0.0213,0.3143
12,8,1988,0.0925,0.1003,0.0,0.0145,0.0723,0.0052,-0.2056,,,0.2436,0.2055,-0.0625,-0.0625,0.2238,-0.0344,0.263
12,9,1989,0.2162,-0.0107,0.0,0.0886,0.0725,-0.0344,-0.1013,,,0.1969,0.0249,-0.075,-0.075,0.1897,-0.0509,0.2129
12,10,1990,-0.0982,-0.3295,0.0,-0.0117,-0.0113,-0.0762,-0.0987,,,0.1781,-0.2856,-0.0698,-0.0698,0.1784,-0.0484,0.192
13,1,1982,0.0888,0.1493,0.0,0.2008,0.1668,-0.0908,0.0454,,,0.1127,-0.1036,-0.0958,-0.0958,-0.0417,0.2447,0.1251
13,2,1983,0.1263,0.2508,0.0,-0.0499,0.0697,-0.0356,-0.234,,,0.306,0.1472,-0.0794,-0.0794,0.0499,0.0679,0.3456
13,3,1984,-0.0309,-0.2196,0.0,0.0383,0.0555,-0.0444,-0.264,,,0.3722,-0.0153,-0.0871,-0.0871,0.1189,0.0023,0.4218
13,4,1985,0.2212,0.1644,0.0,0.1697,0.1525,0.0,-0.0137,,,0.395,0.4583,-0.0695,-0.0695,0.2001,-0.0052,0.4402
13,5,1986,0.1181,-0.036,0.0,0.1728,0.1451,0.0343,0.1226,,,0.3761,0.6037,-0.0563,-0.0563,0.2485,-0.0065,0.413
13,6,1987,0.0003,-0.1873,0.0,-0.1015,-0.0281,0.0196,0.1773,,,0.333,0.181,-0.0546,-0.0546,0.2577,-0.0146,0.3624
13,7,1988,0.0925,0.1003,0.0,0.0145,0.0723,0.0052,-0.2056,,,0.2799,0.2055,-0.0625,-0.0625,0.2391,-0.0294,0.3034
13,8,1989,0.2162,-0.0107,0.0,0.0886,0.0725,-0.0344,-0.1013,,,0.2271,0.0249,-0.075,-0.075,0.2075,-0.0473,0.2461
13,9,1990,-0.0982,-0.3295,0.0,-0.0117,-0.0113,-0.0762,-0.0987,,,0.2037,-0.2856,-0.0698,-0.0698,0.1965,-0.0455,0.2198
13,10,1991,0.2358,0.388,0.0,0.0913,0.1286,-0.0527,-0.1323,,,0.2018,0.0676,-0.0511,-0.0511,0.2021,-0.0292,0.216
14,1,1983,0.1263,0.2508,0.0,-0.0499,0.0697,-0.0356,-0.234,,,0.1329,0.1472,-0.0794,-0.0794,-0.0242,0.2674,0.1456
14,2,1984,-0.0309,-0.2196,0.0,0.0383,0.0555,-0.0444,-0.264,,,0.2951,-0.0153,-0.0871,-0.0871,0.0411,0.059,0.3343
14,3,1985,0.2212,0.1644,0.0,0.1697,0.1525,0.0,-0.0137,,,0.3986,0.4583,-0.0695,-0.0695,0.1404,0.0216,0.4491
14,4,1986,0.1181,-0.036,0.0,0.1728,0.1451,0.0343,0.1226,,,0.4147,0.6037,-0.0563,-0.0563,0.2171,0.0089,0.4606
14,5,1987,0.0003,-0.1873,0.0,-0.1015,-0.0281,0.0196,0.1773,,,0.3786,0.181,-0.0546,-0.0546,0.2507,-0.0047,0.4156
14,6,1988,0.0925,0.1003,0.0,0.0145,0.0723,0.0052,-0.2056,,,0.3219,0.2055,-0.0625,-0.0625,0.2472,-0.0228,0.351
14,7,1989,0.2162,-0.0107,0.0,0.0886,0.0725,-0.0344,-0.1013,,,0.2629,0.0249,-0.075,-0.075,0.2226,-0.0424,0.286
14,8,1990,-0.0982,-0.3295,0.0,-0.0117,-0.0113,-0.0762,-0.0987,,,0.234,-0.2856,-0.0698,-0.0698,0.2143,-0.0419,0.2532
14,9,1991,0.2358,0.388,0.0,0.0913,0.1286,-0.0527,-0.1323,,,0.2279,0.0676,-0.0511,-0.0511,0.2205,-0.0263,0.2444
14,10,1992,0.0393,0.2135,0.0,0.0573,0.0762,-0.0252,-0.0886,,,0.2245,-0.1477,-0.0332,-0.0332,0.2248,-0.0109,0.2389
15,1,1984,-0.0309,-0.2196,0.0,0.0383,0.0555,-0.0444,-0.264,,,0.1234,-0.0153,-0.0871,-0.0871,-0.0324,0.2567,0.136
15,2,1985,0.2212,0.1644,0.0,0.1697,0.1525,0.0,-0.0137,,,0.32,0.4583,-0.0695,-0.0695,0.0611,0.0794,0.36
15,3,1986,0.1181,-0.036,0.0,0.1728,0.1451,0.0343,0.1226,,,0.4184,0.6037,-0.0563,-0.0563,0.1566,0.036,0.4697
15,4,1987,0.0003,-0.1873,0.0,-0.1015,-0.0281,0.0196,0.1773,,,0.4173,0.181,-0.0546,-0.0546,0.2193,0.0107,0.4632
15,5,1988,0.0925,0.1003,0.0,0.0145,0.0723,0.0052,-0.2056,,,0.3671,0.2055,-0.0625,-0.0625,0.2403,-0.013,0.4038
15,6,1989,0.2162,-0.0107,0.0,0.0886,0.0725,-0.0344,-0.1013,,,0.3043,0.0249,-0.075,-0.075,0.2306,-0.0358,0.333
15,7,1990,-0.0982,-0.3295,0.0,-0.0117,-0.0113,-0.0762,-0.0987,,,0.27,-0.2856,-0.0698,-0.0698,0.2296,-0.0369,0.2933
15,8,1991,0.2358,0.388,0.0,0.0913,0.1286,-0.0527,-0.1323,,,0.2589,0.0676,-0.0511,-0.0511,0.2388,-0.0226,0.2784
15,9,1992,0.0393,0.2135,0.0,0.0573,0.0762,-0.0252,-0.0886,,,0.2511,-0.1477,-0.0332,-0.0332,0.2435,-0.0079,0.2678
15,10,1993,0.0677,0.2207,0.0,0.1088,0.1211,-0.0082,0.1425,,,0.2296,0.2907,-0.0291,-0.0291,0.2299,-0.0068,0.2441
16,1,1985,0.2212,0.1644,0.0,0.1697,0.1525,0.0,-0.0137,,,0.1451,0.4583,-0.0695,-0.0695,-0.0138,0.2809,0.1579
16,2,1986,0.1181,-0.036,0.0,0.1728,0.1451,0.0343,0.1226,,,0.3387,0.6037,-0.0563,-0.0563,0.0762,0.0946,0.3793
16,3,1987,0.0003,-0.1873,0.0,-0.1015,-0.0281,0.0196,0.1773,,,0.421,0.181,-0.0546,-0.0546,0.1586,0.0379,0.4723
16,4,1988,0.0925,0.1003,0.0,0.0145,0.0723,0.0052,-0.2056,,,0.4055,0.2055,-0.0625,-0.0625,0.2091,0.0022,0.451
16,5,1989,0.2162,-0.0107,0.0,0.0886,0.0725,-0.0344,-0.1013,,,0.3489,0.0249,-0.075,-0.075,0.2238,-0.0262,0.3851
16,6,1990,-0.0982,-0.3295,0.0,-0.0117,-0.0113,-0.0762,-0.0987,,,0.3117,-0.2856,-0.0698,-0.0698,0.2376,-0.0303,0.3406
