Series,Year,calendar year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
14,2,1984,0.0615,-0.1452,0.0954,0.1373,0.1562,0.0468,-0.1938,0.0395,0.0468,0.4186,0.0786,0.0,0.0,0.1404,0.16,0.4616
14,3,1985,0.3124,0.2514,0.0747,0.2571,0.2386,0.0747,0.06,0.038,0.0388,0.5031,0.5672,0.0,0.0,0.2256,0.0979,0.5574
14,4,1986,0.1849,0.0216,0.0597,0.2428,0.2135,0.0961,0.1896,0.011,0.0338,0.4992,0.6994,0.0,0.0,0.2898,0.0691,0.5478
14,5,1987,0.0581,-0.1403,0.0578,-0.0496,0.0281,0.0785,0.2453,0.0443,0.0371,0.4583,0.2493,0.0,0.0,0.323,0.0528,0.4974
14,6,1988,0.1654,0.1737,0.0667,0.0822,0.1438,0.0722,-0.1526,0.0442,0.0368,0.4101,0.2859,0.0,0.0,0.3304,0.0424,0.4411
14,7,1989,0.3148,0.0695,0.0811,0.1769,0.1595,0.0439,-0.0284,0.0465,0.0332,0.3653,0.108,0.0,0.0,0.3218,0.0353,0.3903
14,8,1990,-0.0306,-0.2792,0.075,0.0624,0.0628,-0.0069,-0.0311,0.0611,0.0374,0.3266,-0.232,0.0,0.0,0.3054,0.03,0.3472
14,9,1991,0.3023,0.4627,0.0538,0.15,0.1893,-0.0017,-0.0856,0.0306,0.0311,0.294,0.125,0.0,0.0,0.2862,0.0261,0.3113
14,10,1992,0.0749,0.2551,0.0343,0.0936,0.1131,0.0082,-0.0573,0.029,0.029,0.2665,-0.1185,0.0,0.0,0.2668,0.023,0.2814
15,1,1984,0.0615,-0.1452,0.0954,0.1373,0.1562,0.0468,-0.1938,0.0395,0.0468,0.2306,0.0786,0.0,0.0,0.0599,0.3766,0.2444
15,2,1985,0.3124,0.2514,0.0747,0.2571,0.2386,0.0747,0.06,0.038,0.0388,0.4186,0.5672,0.0,0.0,0.1404,0.16,0.4616
15,3,1986,0.1849,0.0216,0.0597,0.2428,0.2135,0.0961,0.1896,0.011,0.0338,0.5031,0.6994,0.0,0.0,0.2256,0.0979,0.5574
15,4,1987,0.0581,-0.1403,0.0578,-0.0496,0.0281,0.0785,0.2453,0.0443,0.0371,0.4992,0.2493,0.0,0.0,0.2898,0.0691,0.5478
15,5,1988,0.1654,0.1737,0.0667,0.0822,0.1438,0.0722,-0.1526,0.0442,0.0368,0.4583,0.2859,0.0,0.0,0.323,0.0528,0.4974
15,6,1989,0.3148,0.0695,0.0811,0.1769,0.1595,0.0439,-0.0284,0.0465,0.0332,0.4101,0.108,0.0,0.0,0.3304,0.0424,0.4411
15,7,1990,-0.0306,-0.2792,0.075,0.0624,0.0628,-0.0069,-0.0311,0.0611,0.0374,0.3653,-0.232,0.0,0.0,0.3218,0.0353,0.3903
15,8,1991,0.3023,0.4627,0.0538,0.15,0.1893,-0.0017,-0.0856,0.0306,0.0311,0.3266,0.125,0.0,0.0,0.3054,0.03,0.3472
15,9,1992,0.0749,0.2551,0.0343,0.0936,0.1131,0.0082,-0.0573,0.029,0.029,0.294,-0.1185,0.0,0.0,0.2862,0.0261,0.3113
15,10,1993,0.0997,0.2573,0.03,0.1421,0.1547,0.0216,0.1768,0.0275,0.0272,0.2665,0.3294,0.0,0.0,0.2668,0.023,0.2814
16,1,1985,0.3124,0.2514,0.0747,0.2571,0.2386,0.0747,0.06,0.038,0.0388,0.2306,0.5672,0.0,0.0,0.0599,0.3766,0.2444
16,2,1986,0.1849,0.0216,0.0597,0.2428,0.2135,0.0961,0.1896,0.011,0.0338,0.4186,0.6994,0.0,0.0,0.1404,0.16,0.4616
16,3,1987,0.0581,-0.1403,0.0578,-0.0496,0.0281,0.0785,0.2453,0.0443,0.0371,0.5031,0.2493,0.0,0.0,0.2256,0.0979,0.5574
16,4,1988,0.1654,0.1737,0.0667,0.0822,0.1438,0.0722,-0.1526,0.0442,0.0368,0.4992,0.2859,0.0,0.0,0.2898,0.0691,0.5478
16,5,1989,0.3148,0.0695,0.0811,0.1769,0.1595,0.0439,-0.0284,0.0465,0.0332,0.4583,0.108,0.0,0.0,0.323,0.0528,0.4974
